619950566786113536,neutral,"@picturehouse's, pink floyd's, 'roger waters: the walll - opening 29 sept is now making waves. watch the trailer on rolling stone - look...",
619969366986235905,neutral,order go set a watchman in store or through our website before tuesday and get it half price! #gsaw @gsawatchmanbook https://t.co/ket6egd1an,
619971047195045888,negative,"if these runway renovations at the airport prevent me from seeing taylor swift on monday, bad blood will have a new meaning.",
619974445185302528,neutral,"if you could ask an onstage interview question at miss usa tomorrow, what would it be?",
619987808317407232,positive,a portion of book sales from our harper lee/go set a watchman release party on mon. 7/13 will support @cap_tulsa and the great work they do.,
619994586182619136,positive,"excited to read ""go set a watchman"" on tuesday.  but can it possibly live up to ""to kill a mockingbird?""  any opinions?",
619998879447162881,positive,"watching miss usa tomorrow just to see @travisgarland perform, i'm obsessed with his voice",
619999109991284737,neutral,"tune-in for the 2015 miss usa pageant on reelzchannel on sunday, july 12 at 8p et/5p pt. contestants from all 50... http://t.co/m3kjowovq1",
620013074272137216,positive,call for reservations for lunch or dinner tomorrow (yep sunday!). happy to accommodate guests in town for the miss usa pageant 346-5100,
620015047889154048,neutral,"miss universe org prez tells me #trump won't attend sunday's miss usa event he's missed some in the past, but he said recently he'd be here",
620015649151021056,neutral,trump said june 30th that he'd be at miss usa pageant in baton rouge. organizers say he's not coming. no word yet from his camp on his plans,
620017122081685504,neutral,haven't read to kill a mockingbird in years. that may be a good thing for when i read go set a watchman. might make it less heartbreaking.,
620023409901043712,neutral,did you know that @reelzchannel is airing miss usa tomorrow? here's why: http://t.co/dj3a2snztd,
620024331322699776,neutral,"i've read the book several times, so watching ""to kill a mockingbird"" as a refresher before ""to set a watchman"" novel is released on tuesday",
620027768131203072,positive,tomorrow 51beautiful women from all over the usa come together to compete for one crown and one title of miss usa... http://t.co/b8lfe7nazs,
620031929182621696,neutral,miss usa tomorrow is either going to be the most watched show in 20 years or the least watched show in 20 years.,
620033827046596608,neutral,"reelz is going to broadcast miss usa tomorrow, finally someone is brave enough to step up. nbc's liberal ways has got to go!!!",
620035146083880961,neutral,george osborne is the master of all he surveys...except the economy                                http://t.co/y6gktxi2dl,
620040573395701760,neutral,"here's the first chapter of ""go set a watchman"" for all of you readers out there http://t.co/epzu12hhfj",
620045069605691392,neutral,donald trump: 'i will not be able to attend the miss usa pageant tomorrow night because i am https://t.co/hy5h78l0ib #breaking-news,
620045849373093892,positive,i want it to be tomorrow so i can watch miss usa,
620045999977963520,neutral,uofl volleyball player @katiegeorge05 tomorrow night as she competes in the miss usa pageant. http://t.co/jqy7cfyzd1,
620056364149309441,positive,(1/2) judge me if you want but ima make sure i don't miss the miss usa pageant tomorrow . there's nothing like watching beautiful women...,
620056577341562884,positive,good vibes to @rashontae @realmissmiusa as she competes for miss usa 2015 tomorrow july 12th in baton rouge!  https://t.co/ismqfrkqtc,
620060010396041216,neutral,"will not be at the miss usa pageant tomorrow. campaigning in new mexico. or as i like to call it ""legal mexico""",
620063502682599425,positive,"no. it's okay. you can go attend miss usa! trust me, you should definitely attend miss usa. https://t.co/cwuf7zijii",
620064098731073536,neutral,obama is gonna be at the illegal miss usa pageant tomorrow. https://t.co/jz107vmjzm,
620067692066828288,negative,bad blood may have the absolute worst lyricism i've ever heard in my life (regarding taylors parts) #usedtobemadlove #reallydeepcut,
